,entry_title,hash_id,link,published,updated,guid,original_string,movie_title,release_year,resolution,upload_format,audio_format,encoding,uploader
14,A Radical Act: Renee Montgomery (2024) [1080p] [WEBRip] [5.1] [YTS.MX],0F110E813A0294DAF0C4DB0AA14B25E47D9A69D3,https://yts.mx/movies/a-radical-act-renee-montgomery-2024,"Wed, 16 Oct 2024 14:29:32 +0200","Wed, 16 Oct 2024 14:29:32 +0200",https://yts.mx/movies/a-radical-act-renee-montgomery-2024#1080p,A Radical Act: Renee Montgomery (2024) [1080p] [WEBRip] [5.1] [YTS.MX],A Radical Act: Renee Montgomery,2024,1080p,WEBRip,5.1,,YTS.MX
15,Reagan (2024) [720p] [WEBRip] [YTS.MX],3FF1F3B803E75F787D1A5B180979BE7AB410124D,https://yts.mx/movies/reagan-2024,"Tue, 15 Oct 2024 05:38:08 +0200","Tue, 15 Oct 2024 05:38:08 +0200",https://yts.mx/movies/reagan-2024#720p,Reagan (2024) [720p] [WEBRip] [YTS.MX],Reagan,2024,720p,WEBRip,,,YTS.MX
16,Reagan (2024) [1080p] [WEBRip] [5.1] [YTS.MX],CB1EC56ACAA0949A64484E5E2381B46A9D7D0DF2,https://yts.mx/movies/reagan-2024,"Tue, 15 Oct 2024 07:02:50 +0200","Tue, 15 Oct 2024 07:02:50 +0200",https://yts.mx/movies/reagan-2024#1080p,Reagan (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Reagan,2024,1080p,WEBRip,5.1,,YTS.MX
17,Reagan (2024) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],BB6695D443FA63C9466346AEB34008032CB63162,https://yts.mx/movies/reagan-2024,"Wed, 16 Oct 2024 14:22:41 +0200","Wed, 16 Oct 2024 14:22:41 +0200",https://yts.mx/movies/reagan-2024#1080p,Reagan (2024) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],Reagan,2024,1080p,WEBRip,10bit,x265,YTS.MX
18,Justice (2024) [720p] [WEBRip] [YTS.MX],A710D2E13239576CCCDC7EC9D3EECBABC2A2098A,https://yts.mx/movies/justice-2024,"Wed, 16 Oct 2024 11:08:47 +0200","Wed, 16 Oct 2024 11:08:47 +0200",https://yts.mx/movies/justice-2024#720p,Justice (2024) [720p] [WEBRip] [YTS.MX],Justice,2024,720p,WEBRip,,,YTS.MX
19,Justice (2024) [1080p] [WEBRip] [5.1] [YTS.MX],8ABE4027E1AB26327AE96A1C2B97A714C6F2D410,https://yts.mx/movies/justice-2024,"Wed, 16 Oct 2024 12:16:35 +0200","Wed, 16 Oct 2024 12:16:35 +0200",https://yts.mx/movies/justice-2024#1080p,Justice (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Justice,2024,1080p,WEBRip,5.1,,YTS.MX
20,Dominique (2024) [720p] [WEBRip] [YTS.MX],02F0DBE01284652A69FA5315C9B615B0364F3691,https://yts.mx/movies/dominique-2024,"Sat, 12 Oct 2024 11:30:02 +0200","Sat, 12 Oct 2024 11:30:02 +0200",https://yts.mx/movies/dominique-2024#720p,Dominique (2024) [720p] [WEBRip] [YTS.MX],Dominique,2024,720p,WEBRip,,,YTS.MX
21,Dominique (2024) [1080p] [WEBRip] [5.1] [YTS.MX],ACE4F40DA8B51165F2F08DAFE18D5E8045E9DD48,https://yts.mx/movies/dominique-2024,"Sat, 12 Oct 2024 12:31:28 +0200","Sat, 12 Oct 2024 12:31:28 +0200",https://yts.mx/movies/dominique-2024#1080p,Dominique (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Dominique,2024,1080p,WEBRip,5.1,,YTS.MX
22,Dominique (2024) [2160p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],6361A77F335CDA993A4BDBBA064EFD32BFEFA490,https://yts.mx/movies/dominique-2024,"Wed, 16 Oct 2024 12:12:43 +0200","Wed, 16 Oct 2024 12:12:43 +0200",https://yts.mx/movies/dominique-2024#2160p,Dominique (2024) [2160p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],Dominique,2024,2160p,WEBRip,10bit,x265,YTS.MX
23,Sweet Bobby: My Catfish Nightmare (2024) [720p] [WEBRip] [YTS.MX],20A8737626071606D8B5315816F6753D3D0CA7EB,https://yts.mx/movies/sweet-bobby-my-catfish-nightmare-2024,"Wed, 16 Oct 2024 09:36:17 +0200","Wed, 16 Oct 2024 09:36:17 +0200",https://yts.mx/movies/sweet-bobby-my-catfish-nightmare-2024#720p,Sweet Bobby: My Catfish Nightmare (2024) [720p] [WEBRip] [YTS.MX],Sweet Bobby: My Catfish Nightmare,2024,720p,WEBRip,,,YTS.MX
