,title,link,id,published,summary,tv_show_id,tv_external_id,tv_show_name,tv_episode_id,tv_raw_title,tv_info_hash
10,Last Week Tonight with John Oliver S11E21 1080p WEB H264 Success,magnet:?xt=urn:btih:3E325D647C52665BDEDC39BE101D0113E8E578BE&dn=Last+Week+Tonight+with+John+Oliver+S11E21+1080p+WEB+H264+Success&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,2f9228480872804067b0b237a761694315aae2bc,"Mon, 19 Aug 2024 04:30:07 +0000",New episode: Last Week Tonight with John Oliver S11E21 1080p WEB H264 Success,45,263,Last Week Tonight With John Oliver,203609,Last Week Tonight with John Oliver S11E21 1080p WEB H264 Success,3E325D647C52665BDEDC39BE101D0113E8E578BE
11,Last Week Tonight with John Oliver S11E20 1080p WEB H264 Success,magnet:?xt=urn:btih:6C478486C5972E2524BDFC18C4FD672E33724793&dn=Last+Week+Tonight+with+John+Oliver+S11E20+1080p+WEB+H264+Success&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,92266c606d5f4dd2eaedd29e238f37ecc2e5446c,"Mon, 12 Aug 2024 04:20:09 +0000",New episode: Last Week Tonight with John Oliver S11E20 1080p WEB H264 Success,45,263,Last Week Tonight With John Oliver,203488,Last Week Tonight with John Oliver S11E20 1080p WEB H264 Success,6C478486C5972E2524BDFC18C4FD672E33724793
12,Sunny S01E06 1080p WEB h264 ETHEL,magnet:?xt=urn:btih:C0073E3CDB32043CDA5E43C23245A3CA3C9560D5&dn=Sunny+S01E06+1080p+WEB+h264+ETHEL&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,18529bdea3408d7f804e7a1bf8a2b0881ba70295,"Wed, 07 Aug 2024 02:20:11 +0000",New episode: Sunny S01E06 1080p WEB h264 ETHEL,1794,60398,Sunny,203406,Sunny S01E06 1080p WEB h264 ETHEL,C0073E3CDB32043CDA5E43C23245A3CA3C9560D5
13,House of the Dragon S02E08 1080p WEB h264 ETHEL,magnet:?xt=urn:btih:C1091701AE90B79A7B22DA8AD805E7385C58F2A6&dn=House+of+the+Dragon+S02E08+1080p+WEB+h264+ETHEL&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,e9056de545d04fe861db3523dd065dce99ebce2c,"Mon, 05 Aug 2024 02:20:12 +0000",New episode: House of the Dragon S02E08 1080p WEB h264 ETHEL,1586,44778,House of the Dragon,203381,House of the Dragon S02E08 1080p WEB h264 ETHEL,C1091701AE90B79A7B22DA8AD805E7385C58F2A6
14,Sesame Street S54E35 Prairie Dawns Cookie Party 1080p MAX WEB DL DDP5 1 x264 LAZ,magnet:?xt=urn:btih:A5935C430ECE57C4C23B25A0C9E2297E0904C14D&dn=Sesame+Street+S54E35+Prairie+Dawns+Cookie+Party+1080p+MAX+WEB+DL+DDP5+1+x264+LAZ&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,8bf334dd64eae31b20716084b1a3f40e04700567,"Wed, 31 Jul 2024 03:40:14 +0000",New episode: Sesame Street S54E35 Prairie Dawns Cookie Party 1080p MAX WEB DL DDP5 1 x264 LAZ,605,6544,Sesame Street,203274,Sesame Street S54E35 Prairie Dawns Cookie Party 1080p MAX WEB DL DDP5 1 x264 LAZ,A5935C430ECE57C4C23B25A0C9E2297E0904C14D
15,Sesame Street S54E27 The Tasty Transport 1080p MAX WEB DL DDP5 1 x264 LAZY,magnet:?xt=urn:btih:B686BD9AED672A59953A164E756C5FCE4980605C&dn=Sesame+Street+S54E27+The+Tasty+Transport+1080p+MAX+WEB+DL+DDP5+1+x264+LAZY&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,7fbc8d5d6800ab08eb5d82279f265afe93573272,"Wed, 31 Jul 2024 03:40:13 +0000",New episode: Sesame Street S54E27 The Tasty Transport 1080p MAX WEB DL DDP5 1 x264 LAZY,605,6544,Sesame Street,203273,Sesame Street S54E27 The Tasty Transport 1080p MAX WEB DL DDP5 1 x264 LAZY,B686BD9AED672A59953A164E756C5FCE4980605C
16,Sesame Street S54E30 Elmo Visits the Library 1080p MAX WEB DL DDP5 1 x264 LAZY,magnet:?xt=urn:btih:FDD4CCD0936BEEFF82FA85A462575EA3F2446FAA&dn=Sesame+Street+S54E30+Elmo+Visits+the+Library+1080p+MAX+WEB+DL+DDP5+1+x264+LAZY&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,872300f2777ea1890ea4fc1e3814fb4a9aab412c,"Wed, 31 Jul 2024 03:40:13 +0000",New episode: Sesame Street S54E30 Elmo Visits the Library 1080p MAX WEB DL DDP5 1 x264 LAZY,605,6544,Sesame Street,203272,Sesame Street S54E30 Elmo Visits the Library 1080p MAX WEB DL DDP5 1 x264 LAZY,FDD4CCD0936BEEFF82FA85A462575EA3F2446FAA
17,Sesame Street S54E19 Bert and Ernies Opposite Day 1080p MAX WEB DL DDP5 1 x264 L,magnet:?xt=urn:btih:B1A8045DF63FA9A6B78886CA9FE5F5F0DCBC4842&dn=Sesame+Street+S54E19+Bert+and+Ernies+Opposite+Day+1080p+MAX+WEB+DL+DDP5+1+x264+L&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,2093b59f2d7b88f74271969336cebcb4bcf5c68a,"Wed, 31 Jul 2024 03:10:13 +0000",New episode: Sesame Street S54E19 Bert and Ernies Opposite Day 1080p MAX WEB DL DDP5 1 x264 L,605,6544,Sesame Street,203269,Sesame Street S54E19 Bert and Ernies Opposite Day 1080p MAX WEB DL DDP5 1 x264 L,B1A8045DF63FA9A6B78886CA9FE5F5F0DCBC4842
18,Sesame Street S54E15 Elmo Helps the Amazing Zero 1080p MAX WEB DL DDP5 1 x264 LA,magnet:?xt=urn:btih:9F230B30D3272654A420B3172DE90575FEFC1177&dn=Sesame+Street+S54E15+Elmo+Helps+the+Amazing+Zero+1080p+MAX+WEB+DL+DDP5+1+x264+LA&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,ca04a3369bfc09e27fb0219f9301e6fe40d3e7d6,"Wed, 31 Jul 2024 02:40:13 +0000",New episode: Sesame Street S54E15 Elmo Helps the Amazing Zero 1080p MAX WEB DL DDP5 1 x264 LA,605,6544,Sesame Street,203266,Sesame Street S54E15 Elmo Helps the Amazing Zero 1080p MAX WEB DL DDP5 1 x264 LA,9F230B30D3272654A420B3172DE90575FEFC1177
19,Sesame Street S54E10 Supermarket Games 1080p MAX WEB DL DDP5 1 x264 LAZY,magnet:?xt=urn:btih:460A58A23C0FD34DD852EA23DB04E9446F42630C&dn=Sesame+Street+S54E10+Supermarket+Games+1080p+MAX+WEB+DL+DDP5+1+x264+LAZY&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,8c2defb7e995d2d16fe84e192b1a5b0ffa803985,"Wed, 31 Jul 2024 02:40:13 +0000",New episode: Sesame Street S54E10 Supermarket Games 1080p MAX WEB DL DDP5 1 x264 LAZY,605,6544,Sesame Street,203265,Sesame Street S54E10 Supermarket Games 1080p MAX WEB DL DDP5 1 x264 LAZY,460A58A23C0FD34DD852EA23DB04E9446F42630C
